State,District,Latitude,Longitude,Population,Male Literate,Female Literate,Scheduled Castes,Male Scheduled Castes,Female Scheduled Castes,Scheduled Tribes,Male Scheduled Tribes,Female Scheduled Tribes ,Workers,Male Workers,Female Workers,Main Workers,Marginal Workers,Non Workers,Cultivator Workers,Agricultural Workers,Household Workers,Other_Workers,Total Hindus,Total Muslims,Total Christians,Total Sikhs ,Total Buddhists,Total Jains,Others Religions,Religion Not Stated,LPG Households,Housholds with Electric Lighting,Households with Internet,Households with Computer,Rural Households,Urban Households,Households,Below Primary Education,Primary Education,Middle Education,Secondary Education,Higher Education,Graduation,Other Education,Households with Bicycle,Households with Car Jeep Van,Households with Radio Transistor,"Households with Scooter,Motorcycle,Moped","Households with Telephone,Mobile,Phone and Landline only","Households with Telephone,MobilePhone and Mobile only","Households with TV,Computer,Laptop,Telephone,mobile,phone and ScooterCar",Households with Television,"Households with Telephone,Mobile and Phone","Households with Telephone,Mobile and Phone",Total Religion,Literacy Rate,Sex Ratio
Assam,Barpeta,26.427872264631056,90.97912010178116,1693622,499038,398020,95320,49165,46155,27344,13530,13814,561824,445297,116527,439453,122371,1131798,205259,98946,30342,227277,492966,1198036,1020,112,49,399,14,1026,50806,84804,2078,25286,447189,52192,499381,210607,307884,300845,121924,87377,46947,8007,181352,5560,66059,24913,4125,143945,3522,55319,151699,3629,1692596,100.0,95.0
Assam,Bongaigaon,26.45012521994133,90.6734296187684,738804,237114,196964,82784,42513,40271,18835,9377,9458,255806,197542,58264,191671,64135,482998,83442,47406,9485,115473,359145,371033,5924,384,236,871,9,1202,29937,49866,2523,12959,181923,38470,220393,93591,138294,133643,55924,35491,20221,2267,97820,5837,26375,16579,3604,70455,4174,36350,78595,4536,737602,100.0,97.0
Assam,Cachar,24.815570668693017,92.86849650455927,1736617,639946,534182,264897,136051,128846,17569,8736,8833,608062,469752,138310,471259,136803,1128555,120356,68664,24466,394576,1038985,654816,37635,280,341,1673,98,2789,62135,140205,5316,37541,346227,88933,435160,256855,447993,379469,156156,79766,45341,12951,93297,8700,57825,22647,8808,149865,6365,99887,168487,9814,1733828,100.0,96.0
Assam,Darrang,26.58463215962442,92.04141338028155,928500,268666,218373,40260,20566,19694,8419,4300,4119,324843,246864,77979,241456,83387,603657,129456,81617,10542,103228,327322,597392,1688,431,57,724,19,867,17676,45444,1166,12084,268517,20189,288706,119027,163277,161153,59039,47398,22267,3079,109858,3533,52657,13662,2954,67484,2046,30616,72141,1703,927633,100.0,95.0
Assam,Dhemaji,27.586533438485816,94.71336908517353,686133,237761,185267,44225,23006,21219,325560,165449,160111,316800,186577,130223,201364,115436,369333,231937,19181,7224,58458,655052,13475,8711,297,911,167,6315,1205,16547,28195,1192,10410,211758,16504,228262,79107,138838,136371,80804,55399,28006,2868,83663,3504,41278,12293,2358,53184,1764,25776,57166,1624,684928,100.0,95.0
Assam,Dibrugarh,27.30612284482757,95.0998282327587,1326335,491361,393170,58876,30517,28359,102871,51835,51036,560557,368013,192544,391597,168960,765778,135194,61209,14362,349792,1198401,64526,52968,2261,4673,1055,46,2405,76292,136685,8817,34479,299852,77163,377015,143189,243607,301287,139813,89500,59380,6984,172503,21112,70499,44664,8009,122011,14742,121737,139869,9849,1323930,100.0,96.0
Assam,Goalpara,26.017277777777807,90.59869891598912,1008183,304302,259275,45094,22999,22095,231570,116013,115557,362573,267118,95455,266376,96197,645610,126549,75828,14346,145850,347878,579929,77862,771,194,477,103,969,21455,78641,1364,13524,228610,39504,268114,124700,213510,183904,73683,39885,18294,3464,113964,4112,42290,15292,2747,87967,2183,42628,93630,2916,1007214,100.0,96.0
Assam,Golaghat,26.377219709794485,93.82583397823468,1066888,396475,325289,62298,31807,30491,111765,56420,55345,479928,309104,170824,331210,148718,586960,190590,66616,15068,207654,917426,90312,50582,1131,3863,530,1347,1697,40889,82345,3073,17636,292893,34190,327083,117393,223902,261192,111145,66197,36887,4084,157029,9295,59992,27300,5124,93847,5146,70930,103909,4938,1065191,100.0,96.0
Assam,Hailakandi,24.457496089385486,92.59154664804475,659296,226836,180530,70659,36369,34290,691,354,337,214240,170792,43448,165193,49047,445056,65673,31248,7313,110006,251194,397653,8480,84,490,247,636,512,11035,44143,1211,10615,159215,16202,175417,88596,177984,139029,50056,28504,11608,4265,27808,2583,17228,5589,3256,49610,880,19998,55345,2479,658784,100.0,95.0
Assam,Jorhat,26.76244824016563,94.30197722567289,1092256,432335,362594,88665,45194,43471,139971,70795,69176,498618,320746,177872,338635,159983,593638,145885,53153,31543,268037,1008219,54684,21051,1540,2378,719,578,3087,71639,122063,5651,26357,286330,80824,367154,99454,201680,295444,128050,97025,62608,8433,164118,16081,53465,44159,7387,114237,11198,92598,128081,6457,1089169,100.0,96.0
Assam,Kamrup,26.170939452054807,91.58863273972592,1517542,550219,445100,107827,55237,52590,182038,92094,89944,628954,428492,200462,421244,207710,888588,185803,99522,69106,274523,877495,601784,33297,319,185,1330,55,3077,70272,122191,3109,23468,390596,43849,434445,163849,290097,353861,154831,118849,55011,6444,199425,10052,113039,34461,8214,152132,4861,90941,164899,4553,1514465,100.0,95.0
Assam,Karbi Anglong,26.08966454598031,93.11536570271832,956313,314253,242961,44961,23436,21525,538738,272460,266278,383441,246193,137248,260482,122959,572872,223020,60952,9861,89608,766000,20290,157789,370,6260,397,3568,1639,18763,53918,1923,11340,215691,37185,252876,109324,212224,199289,93137,40602,18225,3426,97148,3934,49689,13699,4399,69985,2124,56689,78269,3885,954674,100.0,95.0
Assam,Karimganj,24.69660712250711,92.3679498575498,1228686,435942,359355,157890,81384,76506,1940,994,946,399171,319798,79373,293392,105779,829515,94348,67033,17435,220355,521962,692489,11990,114,446,524,110,1051,28261,70951,1933,24699,261945,32695,294640,198059,333885,257931,76685,39637,21408,7903,38218,3757,24956,7289,4786,94620,1529,38570,105749,6343,1227635,100.0,96.0
Assam,Kokrajhar,26.497246635730868,90.13997470997688,887142,275220,214085,29570,15386,14184,278665,139579,139086,341131,236322,104809,253110,88021,546011,156753,56330,12423,115625,529068,252271,101091,93,1718,396,123,2382,15089,41373,1218,14063,204896,17115,222011,116899,166013,154715,78788,39571,17287,2733,115712,2996,17083,12191,2751,70925,2167,32320,75903,2227,884760,100.0,96.0
Assam,Lakhimpur,27.14128805970149,94.0775949253732,1042137,375552,307934,81840,41689,40151,249426,126716,122710,429995,282250,147745,283533,146462,612142,239377,43922,10983,135713,797130,193476,46217,412,1074,250,2410,1168,32104,60296,1948,15011,293239,34694,327933,126950,212080,217497,107326,82885,44212,4731,133214,6904,57507,25699,3071,86234,3851,45689,92394,3089,1040969,100.0,97.0
Assam,Nagaon,26.26462170626351,92.9306191144708,2823768,921850,788866,266350,136473,129877,115153,57759,57394,979998,766728,213270,734993,245005,1843770,346123,196174,38122,399579,1225246,1563203,26844,3036,1073,1162,61,3143,89206,195631,5121,45956,674999,124186,799185,392616,638088,576214,199792,115864,66994,10351,333149,13979,90067,47693,10616,246649,8180,127523,271238,13973,2820625,100.0,96.0
Assam,Nalbari,26.46323767605632,91.40598521126763,771639,293184,238587,60216,30654,29562,23364,11692,11672,267623,210202,57421,196773,70850,504016,58070,34984,19302,155267,491582,277488,429,62,27,1004,9,1038,37849,68313,1631,12360,210706,28238,238944,75866,141690,192771,81507,71734,39368,3693,107774,4785,60699,18810,3749,80390,2667,45938,86710,2571,770601,100.0,95.0
Assam,Sonitpur,26.73514926829268,92.85197804878044,1924110,620525,488047,109130,55817,53313,232207,117685,114522,770606,537195,233411,558325,212281,1153504,249123,114865,25719,380899,1422824,350536,138166,1363,5088,1003,221,4909,70047,133368,4358,31254,483325,64528,547853,216097,416218,377653,141373,90385,49901,6412,275119,11760,76121,39796,6865,147652,7942,106909,163277,8760,1919201,100.0,96.0
Assam,Tinsukia,27.53549291139241,95.69055949367085,1327929,453449,344873,37688,19443,18245,82066,41769,40297,557196,366623,190573,410188,147008,770733,149482,47756,13241,346717,1181347,48373,76877,1999,16228,837,395,1873,70471,161718,5135,27948,290704,90910,381614,150893,266717,276292,109805,61040,38152,7353,168890,13323,47780,31363,5236,111267,8908,111738,124737,8234,1326056,100.0,95.0
Bihar,Araria,26.211528119180603,87.30766554934816,2811569,727643,468125,382654,198247,184407,38848,19887,18961,1069893,708391,361502,696410,373483,1741676,222913,691947,24367,130666,1593525,1207442,4116,371,187,1910,63,3955,17004,43290,2561,29796,659061,44213,703274,625357,426625,206161,112955,68177,39627,6938,279254,5041,125606,31983,8513,225586,1645,40387,240730,6631,2807614,0.0,92.0
Bihar,Aurangabad,24.774291867469877,84.45986024096379,2540073,868733,597269,612064,316161,295903,1033,500,533,837770,599157,238613,480286,357484,1702303,178525,426096,40652,192497,2291133,237353,2218,295,334,775,19,7946,24106,44456,2362,31168,428291,49006,477297,559512,482199,302662,253142,136783,91371,8329,195301,7145,102946,32335,8511,221469,2292,45871,235248,5268,2532127,100.0,93.0
Bihar,Aurangabad,24.774291867469877,84.45986024096379,3701282,1430936,1072901,539368,277228,262140,143366,73876,69490,1575079,1015864,559215,1446636,128443,2126203,554518,396630,28033,595898,2545438,786677,15991,5142,309093,30981,1005,6955,246324,589477,23258,69937,551789,427343,979132,381695,686271,422964,537936,310762,253253,19101,192027,33322,94872,230188,34570,454647,43514,403594,526483,37266,3694327,100.0,92.0
Maharashtra,Aurangabad,20.0979228832952,75.32072196796334,2540073,868733,597269,612064,316161,295903,1033,500,533,837770,599157,238613,480286,357484,1702303,178525,426096,40652,192497,2291133,237353,2218,295,334,775,19,7946,24106,44456,2362,31168,428291,49006,477297,559512,482199,302662,253142,136783,91371,8329,195301,7145,102946,32335,8511,221469,2292,45871,235248,5268,2532127,100.0,93.0
Maharashtra,Aurangabad,20.0979228832952,75.32072196796334,3701282,1430936,1072901,539368,277228,262140,143366,73876,69490,1575079,1015864,559215,1446636,128443,2126203,554518,396630,28033,595898,2545438,786677,15991,5142,309093,30981,1005,6955,246324,589477,23258,69937,551789,427343,979132,381695,686271,422964,537936,310762,253253,19101,192027,33322,94872,230188,34570,454647,43514,403594,526483,37266,3694327,100.0,92.0
Bihar,Banka,24.832355642023337,86.8664916342413,2034763,590961,374360,247858,129663,118195,90432,45901,44531,771080,517817,253263,374097,396983,1263683,172440,462614,26680,109346,1772655,250925,6138,139,113,94,1035,3664,15459,62359,1704,22300,425604,18492,444096,408188,386707,196305,120653,63103,35767,3922,159201,3258,78757,24398,6235,170898,1339,32859,181116,3983,2031099,0.0,91.0
Bihar,Begusarai,25.54302613168723,86.12560144032932,2970541,918507,630166,432270,227481,204789,1597,848,749,938182,715345,222837,591811,346371,2032359,146035,430870,58167,303110,2554330,407348,2209,402,229,276,57,5690,49493,120373,4644,43127,594377,139248,733625,577601,484502,291877,207136,144783,101836,14599,295852,9821,106532,41377,13978,309910,4767,76761,334335,10447,2964851,100.0,89.0
Bihar,Bhagalpur,25.277192885375477,87.04213814229242,3037766,937669,635397,318569,169667,148902,67180,35545,31635,983528,740056,243472,534129,449399,2054238,135161,475228,60461,312678,2487866,537098,3556,415,180,1050,32,7569,63241,174534,6764,46929,522527,130634,653161,614644,524322,300767,247079,154643,118843,16119,220531,8644,131976,47618,13542,284153,8210,117040,308044,10349,3030197,100.0,88.0
Bihar,Bhojpur,25.50666439393939,84.49407803030304,2728407,973486,625665,425402,222716,202686,13977,7363,6614,822493,640283,182210,512009,310484,1905914,190896,364875,47985,218737,2518216,197819,2165,544,647,1472,48,7496,45763,62153,3661,34658,434559,77368,511927,581580,605307,367059,313509,163303,131137,10630,206776,7391,119372,43689,11934,246774,4227,87879,268330,9622,2720911,100.0,91.0
